"DisplayName","DisplayVersion","Publisher","InstallDate"
".NET for Android Templates (x64)","35.0.105.0","Microsoft Corporation","20251101"
".NET for Android Templates (x64)","35.0.78.0","Microsoft Corporation","20250802"
".NET MAUI SDK (x64)","8.0.100.0","Microsoft Corporation","20251007"
".NET MAUI SDK (x64)","9.0.111.0","Microsoft Corporation","20251014"
".NET MAUI Templates (x64)","8.0.100.0","Microsoft Corporation","20251007"
".NET MAUI Templates (x64)","9.0.111.0","Microsoft Corporation","20251014"
"${{arpDisplayName}}","11.2","NVIDIA Corporation","20201226"
"7-Zip 25.01 (x64)","25.01","Igor Pavlov",
"Adobe Acrobat","25.001.20997","Adobe Systems Incorporated","20251209"
"Adobe Creative Cloud","6.7.0.278","Adobe Inc.",
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20250905"
"Alloy v1.11.2","v1.11.2","Grafana Labs",
"Android Studio","2022.3","Google LLC",
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.6901","Microsoft","20251111"
"Application Verifier x64 External Package (OnecoreUAP)","10.1.26100.6901","Microsoft","20251111"
"Arduino Cloud Agent","1.6.1","Arduino LLC","20240929"
"Arduino IDE 2.3.6","2.3.6","Arduino SA",
"arduino-create-agent","1.4.0","Arduino LLC","20240427"
"ASUS Aac_GmAcc HAL","1.0.12.0","ASUSTek COMPUTER INC.","20230714"
"ASUS Aac_GmAcc HAL","1.0.12.0","ASUSTek COMPUTER INC.",
"ASUS AIOFan HAL","1.4.0.0","ASUSTek COMPUTER INC.",
"ASUS AIOFan HAL","1.4.0.0","ASUSTek COMPUTER INC.","20241108"
"ASUS Ambient HAL","4.2.0.0","ASUSTeK COMPUTER INC.","20241108"
"ASUS Ambient HAL","4.2.0.0","ASUSTeK COMPUTER INC.",
"ASUS AURA Extension Card HAL","1.1.0.20","ASUSTeK COMPUTER INC.",
"ASUS AURA Extension Card HAL","1.1.0.20","ASUSTeK COMPUTER INC.","20230714"
"ASUS AURA Motherboard HAL","1.5.0.2","ASUSTeK COMPUTER INC.","20241108"
"ASUS AURA Motherboard HAL","1.5.0.2","ASUSTeK COMPUTER INC.",
"ASUS Aura SDK","3.04.46","ASUSTek COMPUTER INC.","20241108"
"ASUS AURA VGA Component","0.0.4.3","ASUSTek COMPUTER INC. ","20211002"
"ASUS AURA VGA Component","0.0.4.3","ASUSTek COMPUTER INC. ",
"ASUS Framework Service","4.2.0.4","ASUSTeK Computer Inc.","20241108"
"ASUS Motherboard","4.03.01","ASUSTek Computer Inc.",
"ASUS Switch","1.0.16.0","ASUSTeK COMPUTER INC.","20231020"
"ASUS Update Helper","1.3.107.145","ASUSTeK Computer Inc.","20251031"
"ASUS Wireless Router Device Discovery Utility","1.4.8.0","ASUS","20200913"
"Audacity 3.7.5","3.7.5","Audacity Team","20250831"
"AURA DRAM Component","1.1.27","ASUS","20241108"
"AURA DRAM Component","1.1.27","ASUS",
"AURA lighting effect add-on","0.0.44","ASUSTek COMPUTER INC.","20241108"
"AURA lighting effect add-on x64","0.0.44","ASUSTek COMPUTER INC.","20241108"
"AURA Service","3.07.54","ASUSTeK Computer Inc.",
"AURA Service","3.07.54","ASUSTeK Computer Inc.","20241108"
"Aura Wallpaper HTML","2.1.6.0","ASUSTek Computer Inc.",
"Aura Wallpaper Service","2.1.6.0","ASUSTeK COMPUTER INC.","20250724"
"Azure DevOps Integration Tool for Office 2019 (x64)","17.1.32304","Microsoft Corporation","20231217"
"Azure DevOps Integration Tool for Office 2019 Language Pack (x64) - ENU","17.1.32304","Microsoft Corporation","20231217"
"BCD and Boot","10.1.26100.2454","Microsoft","20250916"
"Canon Utilities Digital Photo Professional 4","4.18.10.0","Canon Inc.",
"Canon Utilities EOS Lens Registration Tool","1.17.0.1","Canon Inc.",
"Canon Utilities EOS Network Setting Tool","1.3.1.1","Canon Inc.",
"Canon Utilities EOS Utility 2","2.14.20.0","Canon Inc.",
"Canon Utilities EOS Utility 3","3.16.10.8","Canon Inc.",
"Canon Utilities EOS Web Service Registration Tool","1.16.10.1","Canon Inc.",
"Canon Utilities Neural network Image Processing Tool","1.1.0.0","Canon Inc.",
"chocolatey","2.5.0","Chocolatey",
"chocolatey-compatibility.extension","1.0.0","Chocolatey",
"chocolatey-core.extension","1.4.0","Chocolatey",
"chocolatey-dotnetfx.extension","1.0.1","Chocolatey",
"chocolatey-visualstudio.extension","1.11.1","Chocolatey",
"chocolatey-windowsupdate.extension","1.0.5","Chocolatey",
"Chrome Remote Desktop Host","143.0.7499.7","Google LLC","20251111"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.09256","Microsoft Corporation","20250106"
"CMake","4.2.1","Kitware","20251214"
"Compute Sanitizer","11.2","NVIDIA Corporation","20201226"
"CopyTrans HEIC for Windows","1.0.0.8","Ursa Minor Ltd","20210823"
"Corsair LINK 4","4.9.7.35","Corsair Components, Inc.",
"Corsair LINK 4","4.9.7.35","Corsair Components, Inc.","20200629"
"CPUID CPU-Z 2.16","2.16","CPUID, Inc.","20250831"
"CUBLAS Development","11.2","NVIDIA Corporation","20201226"
"CUBLAS Runtime","11.2","NVIDIA Corporation","20201226"
"CUDA Documentation","11.2","NVIDIA Corporation","20201226"
"CUDA Profiler Tools","11.2","NVIDIA Corporation","20201226"
"CUDA Toolkit","11.2","NVIDIA Corporation","20201226"
"CUDART Runtime","11.2","NVIDIA Corporation","20201226"
"CUFFT Development","11.2","NVIDIA Corporation","20201226"
"cuobjdump","11.2","NVIDIA Corporation","20201226"
"CUPTI","11.2","NVIDIA Corporation","20201226"
"CURAND Development","11.2","NVIDIA Corporation","20201226"
"CURAND Runtime","11.2","NVIDIA Corporation","20201226"
"CUSOLVER Development","11.2","NVIDIA Corporation","20201226"
"CUSOLVER Runtime","11.2","NVIDIA Corporation","20201226"
"CUSPARSE Development","11.2","NVIDIA Corporation","20201226"
"CUSPARSE Runtime","11.2","NVIDIA Corporation","20201226"
"cuxxfilt","11.2","NVIDIA Corporation","20201226"
"CyberLink PhotoDirector 14","14.1.1130.0","CyberLink Corp.",
"CyberPower PowerPanel Personal 2.6.1","2.6.1","CyberPower Systems, Inc.",
"DataGrip 2025.2.4","252.26830.46","JetBrains s.r.o.",
"DaVinci Resolve Keyboards","1.0.0.0","Blackmagic Design","20200810"
"DB Browser for SQLite","3.13.1","DB Browser for SQLite Team","20250817"
"Demo Suite","11.2","NVIDIA Corporation","20201226"
"Devart ODBC Driver for SQLite 4.5.2","4.5.2","Devart","20250809"
"DiagnosticsHub_CollectionService","17.14.36412","Microsoft Corporation","20250830"
"Disassembler","11.2","NVIDIA Corporation","20201226"
"DJI Assistant 2 version V1.2.5","V1.2.5","DJI","20230828"
"DJI Flight Simulator 2.2.0.0","2.2.0.0","DJI",
"DJI Thermal Analysis Tool","V2.0.11","DJI Tech, Inc.",
"Docker Desktop","4.54.0","Docker Inc.",
"Documentation Manager","24.0.2.1","Intel Corporation","20251210"
"dotnetfx","4.8.0.20220524","Chocolatey",
"doxygen 1.14.0","1.14.0","Dimitri van Heesch","20250831"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20211210"
"ENE RGB HAL","1.1.53.0","Ene Tech.","20241108"
